ts_recv,ts_event,rtype,publisher_id,instrument_id,side,price,size,flags,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_pb_00,ask_pb_00,symbol
2023-08-28T13:31:00.000000000Z,2023-08-28T13:30:59.859000000Z,193,30,687866918,N,3.200000000,2,200,3.150000000,3.250000000,50,87,0,0,TSLA  230901C00250000
2023-08-28T13:32:00.000000000Z,2023-08-28T13:31:59.828000000Z,193,30,687866918,N,2.700000000,1,200,2.640000000,2.690000000,19,7,0,0,TSLA  230901C00250000
2023-08-28T13:33:00.000000000Z,2023-08-28T13:32:59.365000000Z,193,30,687866918,N,2.680000000,1,200,2.650000000,2.670000000,36,11,0,0,TSLA  230901C00250000
2023-08-28T13:34:00.000000000Z,2023-08-28T13:33:59.832000000Z,193,30,687866918,N,2.750000000,2,200,2.720000000,2.760000000,44,35,0,0,TSLA  230901C00250000
2023-08-28T13:35:00.000000000Z,2023-08-28T13:34:59.638000000Z,193,30,687866918,N,2.730000000,1,200,2.720000000,2.760000000,45,47,0,0,TSLA  230901C00250000
2023-08-28T13:36:00.000000000Z,2023-08-28T13:35:59.959000000Z,193,30,687866918,N,2.750000000,2,200,2.750000000,2.770000000,3,51,0,0,TSLA  230901C00250000
2023-08-28T13:37:00.000000000Z,2023-08-28T13:36:59.864000000Z,193,30,687866918,N,2.220000000,1,200,2.220000000,2.230000000,9,14,0,0,TSLA  230901C00250000
2023-08-28T13:38:00.000000000Z,2023-08-28T13:37:59.880000000Z,193,30,687866918,N,2.100000000,1,200,2.080000000,2.100000000,2,53,0,0,TSLA  230901C00250000
2023-08-28T13:39:00.000000000Z,2023-08-28T13:38:59.495000000Z,193,30,687866918,N,2.020000000,6,200,2.010000000,2.020000000,6,60,0,0,TSLA  230901C00250000
2023-08-28T13:40:00.000000000Z,2023-08-28T13:39:59.784000000Z,193,30,687866918,N,2.130000000,1,200,2.100000000,2.130000000,48,57,0,0,TSLA  230901C00250000
2023-08-28T13:41:00.000000000Z,2023-08-28T13:40:59.684000000Z,193,30,687866918,N,2.240000000,1,200,2.220000000,2.240000000,20,41,0,0,TSLA  230901C00250000
2023-08-28T13:42:00.000000000Z,2023-08-28T13:41:59.770000000Z,193,30,687866918,N,1.960000000,1,200,1.950000000,1.960000000,19,40,0,0,TSLA  230901C00250000
2023-08-28T13:43:00.000000000Z,2023-08-28T13:42:59.989000000Z,193,30,687866918,N,1.920000000,5,200,1.920000000,1.940000000,98,46,0,0,TSLA  230901C00250000
2023-08-28T13:44:00.000000000Z,2023-08-28T13:43:59.135000000Z,193,30,687866918,N,1.960000000,4,200,1.950000000,1.970000000,11,52,0,0,TSLA  230901C00250000
2023-08-28T13:45:00.000000000Z,2023-08-28T13:44:59.384000000Z,193,30,687866918,N,2.100000000,1,200,2.090000000,2.100000000,89,17,0,0,TSLA  230901C00250000
2023-08-28T13:46:00.000000000Z,2023-08-28T13:45:59.866000000Z,193,30,687866918,N,1.840000000,1,200,1.820000000,1.840000000,1,171,0,0,TSLA  230901C00250000
2023-08-28T13:47:00.000000000Z,2023-08-28T13:46:59.683000000Z,193,30,687866918,N,1.920000000,1,200,1.900000000,1.930000000,94,9,0,0,TSLA  230901C00250000
2023-08-28T13:48:00.000000000Z,2023-08-28T13:47:59.829000000Z,193,30,687866918,N,2.210000000,1,200,2.200000000,2.210000000,1,1,0,0,TSLA  230901C00250000
2023-08-28T13:49:00.000000000Z,2023-08-28T13:48:59.047000000Z,193,30,687866918,N,2.100000000,1,200,2.100000000,2.120000000,2,1,0,0,TSLA  230901C00250000
2023-08-28T13:50:00.000000000Z,2023-08-28T13:49:59.248000000Z,193,30,687866918,N,2.120000000,1,200,2.100000000,2.150000000,27,48,0,0,TSLA  230901C00250000
